Synchronous,Asynchronous
0,0.47
0,0.005
0,0.088
0,0.574
0,0.467
0,0.009
0,0.135
0,0.323
0,0.5
0,0.423
0,0.501
0,0.261
0,0.105
1,1.0
0,0.236
0,0.044
0,0.121
0,0.165
0,0.203
0,0.145
0,0.496
0,0.469
0,0.147
0,0.441
0,0.026
0,0.443
0,0.191
0,0.162
0,0.348
1,1.0
0,0.206
0,0.211
0,0.439
1,1.0
0,0.161
1,0.997
0,0.455
0,0.451
0,0.0
0,0.124
0,0.294
0,0.202
0,0.178
0,0.156
0,0.202
0,0.152
0,0.036
0,0.205
0,0.411
0,0.099
0,0.156
0,0.103
0,0.072
0,0.098
1,1.0
0,0.111
1,1.0
0,0.456
0,0.515
0,0.472
0,0.458
0,0.142
1,0.989
1,1.0
0,0.04
0,0.485
0,0.321
0,0.086
0,0.098
0,0.457
0,0.071
0,0.019
0,0.105
0,0.319
0,0.452
0,0.648
0,0.443
0,0.209
0,0.169
0,0.341
0,0.207
0,0.509
0,0.321
0,0.728
1,1.0
0,0.229
0,0.146
1,1.0
0,0.099
0,0.204
0,0.067
0,0.305
0,0.22
0,0.125
0,0.089
0,0.031
0,0.439
0,0.321
0,0.196
0,0.336
0,0.449
0,0.188
0,0.235
0,0.148
1,0.998
1,0.998
0,0.45
0,0.084
0,0.448
0,0.012
1,1.0
0,0.209
0,0.141
0,0.331
0,0.464
0,0.059
0,0.446
0,0.207
0,0.317
0,0.368
0,0.158
0,0.342
0,0.216
0,0.47
0,0.063
0,0.1
0,0.022
0,0.36
0,0.161
0,0.316
0,0.03
0,0.02
0,0.096
0,0.166
0,0.193
0,0.45
0,0.458
0,0.057
1,1.0
0,0.453
0,0.345
0,0.115
0,0.148
0,0.446
0,0.512
0,0.187
1,1.0
0,0.094
0,0.034
0,0.319
0,0.152
0,0.448
0,0.444
1,1.0
0,0.004
1,1.0
0,0.445
1,0.994
1,1.0
0,0.508
0,0.214
0,0.116
0,0.094
0,0.035
0,0.183
0,0.337
1,0.993
0,0.103
0,0.149
0,0.338
0,0.337
0,0.341
0,0.101
1,1.0
0,0.315
0,0.038
0,0.446
0,0.027
0,0.315
0,0.33
0,0.439
0,0.109
0,0.238
0,0.343
1,0.994
0,0.313
0,0.027
0,0.17
0,0.426
0,0.025
0,0.467
0,0.059
0,0.34
0,0.318
1,0.998
0,0.06
0,0.229
0,0.319
0,0.303
1,1.0
0,0.623
0,0.454
1,0.998
0,0.135
0,0.414
0,0.047
0,0.2
0,0.186
0,0.013
0,0.132
0,0.476
0,0.214
0,0.209
0,0.011
0,0.453
0,0.022
0,0.612
1,1.0
0,0.462
0,0.2
0,0.426
0,0.43
0,0.201
1,0.998
0,0.16
0,0.068
0,0.349
0,0.11
0,0.434
0,0.071
0,0.469
0,0.512
0,0.207
0,0.153
0,0.144
1,0.993
1,0.996
0,0.446
0,0.526
0,0.33
0,0.208
0,0.459
0,0.635
0,0.244
0,0.34
1,1.0
0,0.094
1,0.991
0,0.441
0,0.355
0,0.003
0,0.446
0,0.34
0,0.153
0,0.805
1,0.994
0,0.069
0,0.071
0,0.033
0,0.147
0,0.469
0,0.128
1,1.0
0,0.464
0,0.466
0,0.301
0,0.326
0,0.111
0,0.132
0,0.438
0,0.506
0,0.439
0,0.209
0,0.148
0,0.441
0,0.15
0,0.319
0,0.45
0,0.459
0,0.243
0,0.011
0,0.153
0,0.338
0,0.449
0,0.02
0,0.155
0,0.084
0,0.311
0,0.18
0,0.168
0,0.04
0,0.048
0,0.042
0,0.464
1,0.998
0,0.149
0,0.134
0,0.066
1,1.0
0,0.468
0,0.143
1,0.994
0,0.483
0,0.461
1,1.0
0,0.317
1,1.0
0,0.197
0,0.065
0,0.227
0,0.311
0,0.326
0,0.022
0,0.219
0,0.152
0,0.154
0,0.293
0,0.538
1,1.0
0,0.207
0,0.441
0,0.224
0,0.04
0,0.334
0,0.521
0,0.155
0,0.477
0,0.462
0,0.007
0,0.097
0,0.026
0,0.072
0,0.196
0,0.107
0,0.122
0,0.144
1,1.0
1,1.0
0,0.436
0,0.444
0,0.185
0,0.248
0,0.005
0,0.48
0,0.01
0,0.067
0,0.083
0,0.48
0,0.334
0,0.343
0,0.271
0,0.321
0,0.19
0,0.102
0,0.144
0,0.089
0,0.026
0,0.441
0,0.143
0,0.277
0,0.146
0,0.178
0,0.127
1,1.0
0,0.006
0,0.057
0,0.226
0,0.154
1,1.0
0,0.445
0,0.212
1,0.997
1,1.0
0,0.065
0,0.195
0,0.432
0,0.041
0,0.02
1,1.0
0,0.326
0,0.427
0,0.16
0,0.04
0,0.707
1,1.0
0,0.494
1,0.998
0,0.084
0,0.457
0,0.03
0,0.212
0,0.185
0,0.029
0,0.15
0,0.449
0,0.154
1,1.0
0,0.014
0,0.441
0,0.21
0,0.073
1,1.0
0,0.151
1,0.992
0,0.465
1,0.995
0,0.508
0,0.513
0,0.062
0,0.069
0,0.336
0,0.303
0,0.321
0,0.466
0,0.46
0,0.221
0,0.438
0,0.446
0,0.217
0,0.325
0,0.032
0,0.329
0,0.203
1,1.0
